method,cell,answers,clean,erroneous,clean_accuracy,error_exact_accuracy,f1,valid_decisions
rbm6__old,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.357487922705314,0.4454065469904963,400.0
rbm6__old,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.3671497584541063,0.3916653411802132,400.0
rbm6__old,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.25925925925925924,0.35572249226690233,1000.0
rbm6__old,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.2727272727272727,0.3432744978697504,1000.0
rbm6__old,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.23903177004538578,0.32965886566748964,1000.0
rbm6__old,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.24205748865355523,0.31931918739291704,1000.0
rbm6__old,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.28326745718050067,0.3632636950967018,1000.0
rbm6__old,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2859025032938076,0.3478241330237435,1000.0
rbm6__near,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.34782608695652173,0.43783005280844933,400.0
rbm6__near,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.2995169082125604,0.34956321999095125,400.0
rbm6__near,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.2356902356902357,0.3328853509769461,1000.0
rbm6__near,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.2441077441077441,0.3196866461047719,1000.0
rbm6__near,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.14523449319213314,0.2280826799714897,1000.0
rbm6__near,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.1573373676248109,0.23563107833707386,1000.0
rbm6__near,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.2028985507246377,0.28968792401628224,1000.0
rbm6__near,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.22002635046113306,0.294236785773094,1000.0
initial6__old,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.33816425120772947,0.43009593618626707,400.0
initial6__old,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.357487922705314,0.3860993912847434,400.0
initial6__old,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.2474747474747475,0.34446923617691105,1000.0
initial6__old,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.27441077441077444,0.3446050042170368,1000.0
initial6__old,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.24357034795763993,0.33394983838348913,1000.0
initial6__old,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.24659606656580937,0.3232432836937813,1000.0
initial6__old,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.28194993412384717,0.3621785090031352,1000.0
initial6__old,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2924901185770751,0.35265560627992426,1000.0
initial6__near,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.2898550724637681,0.38887941326965714,400.0
initial6__near,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.30434782608695654,0.35283136278780336,400.0
initial6__near,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.265993265993266,0.36200988205291684,1000.0
initial6__near,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.2777777777777778,0.347247875877355,1000.0
initial6__near,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.2042360060514372,0.29500136574706365,1000.0
initial6__near,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.20574886535552195,0.2860260709112914,1000.0
initial6__near,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.2463768115942029,0.33144226927686776,1000.0
initial6__near,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2608695652173913,0.32864090094701814,1000.0
rbm12__old,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.38164251207729466,0.4636890204659544,400.0
rbm12__old,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.40096618357487923,0.41011407307997316,400.0
rbm12__old,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.23063973063973064,0.3278159819394305,1000.0
rbm12__old,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.26430976430976433,0.3365295814473189,1000.0
rbm12__old,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.25113464447806355,0.3409907905097744,1000.0
rbm12__old,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.26021180030257185,0.33472250270796233,1000.0
rbm12__old,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.27009222661396576,0.35224607930818363,1000.0
rbm12__old,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.28063241106719367,0.3438957041329048,1000.0
rbm12__near,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.30434782608695654,0.40171155298263284,400.0
rbm12__near,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.2753623188405797,0.3325410544511668,400.0
rbm12__near,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.19696969696969696,0.2923061882882002,1000.0
rbm12__near,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.2222222222222222,0.30031948881789133,1000.0
rbm12__near,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.11497730711043873,0.1890233792074283,1000.0
rbm12__near,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.12102874432677761,0.19240805028021693,1000.0
rbm12__near,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.16469038208168643,0.24852717094595145,1000.0
rbm12__near,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.1686429512516469,0.24443829699895592,1000.0
initial12__old,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.36231884057971014,0.4491371838310614,400.0
initial12__old,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.3671497584541063,0.3916653411802132,400.0
initial12__old,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.2542087542087542,0.3509392399179491,1000.0
initial12__old,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.26936026936026936,0.3405951356492595,1000.0
initial12__old,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.25416036308623297,0.34376918354818914,1000.0
initial12__old,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.26021180030257185,0.33472250270796233,1000.0
initial12__old,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.25823451910408435,0.3420055208318435,1000.0
initial12__old,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2898550724637681,0.35073342620667053,1000.0
initial12__near,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.32367149758454106,0.4181882887568781,400.0
initial12__near,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.3333333333333333,0.37155963302752293,400.0
initial12__near,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.26430976430976433,0.36044758986234915,1000.0
initial12__near,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.2828282828282828,0.35116744496330893,1000.0
initial12__near,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.2102874432677761,0.30126248487366125,1000.0
initial12__near,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.22239031770045387,0.3017194640229262,1000.0
initial12__near,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.2437417654808959,0.3290495177973947,1000.0
initial12__near,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2727272727272727,0.33789473684210525,1000.0
entropy__old,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.3526570048309179,0.44163770000265345,400.0
entropy__old,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.37681159420289856,0.39709625718864894,400.0
entropy__old,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.25084175084175087,0.34771756445508695,1000.0
entropy__old,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.2676767676767677,0.3392461952265841,1000.0
entropy__old,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.22087745839636913,0.31197692225506607,1000.0
entropy__old,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.2254160363086233,0.30449199922884135,1000.0
entropy__old,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.2727272727272727,0.3544794188861985,1000.0
entropy__old,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2740447957839262,0.3389040741276524,1000.0
entropy__near,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.3285024154589372,0.4221992266216437,400.0
entropy__near,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.3719806763285024,0.3943973694195017,400.0
entropy__near,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.27104377104377103,0.36665907538146203,1000.0
entropy__near,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.2845117845117845,0.3524621989505563,1000.0
entropy__near,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.2314674735249622,0.3223937206974662,1000.0
entropy__near,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.24357034795763993,0.32063277345658137,1000.0
entropy__near,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.27931488801054016,0.3599972162293827,1000.0
entropy__near,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2977602108036891,0.356458995128207,1000.0
var15__old,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.3671497584541063,0.4528301886792453,400.0
var15__old,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.3961352657004831,0.4075721780750468,400.0
var15__old,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.23063973063973064,0.3278159819394305,1000.0
var15__old,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.2609427609427609,0.3337877000263456,1000.0
var15__old,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.264750378214826,0.35332716412888027,1000.0
var15__old,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.25718608169440244,0.3322087642645134,1000.0
var15__old,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.2463768115942029,0.33144226927686776,1000.0
var15__old,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2727272727272727,0.33789473684210525,1000.0
var15__near,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.3526570048309179,0.44163770000265345,400.0
var15__near,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.391304347826087,0.40499999999999997,400.0
var15__near,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.2542087542087542,0.3509392399179491,1000.0
var15__near,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.2760942760942761,0.3459294497800916,1000.0
var15__near,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.26626323751891073,0.3546718613555451,1000.0
var15__near,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.27685325264750377,0.34818351522113733,1000.0
var15__near,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.2753623188405797,0.35669769946910823,1000.0
var15__near,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2924901185770751,0.35265560627992426,1000.0
var50__old,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.34299516908212563,0.4339830031366451,400.0
var50__old,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.391304347826087,0.40499999999999997,400.0
var50__old,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.23232323232323232,0.32951289398280803,1000.0
var50__old,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.24579124579124578,0.32112689238832864,1000.0
var50__old,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.2526475037821483,0.3423826690130017,1000.0
var50__old,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.27382753403933435,0.3457809177089716,1000.0
var50__old,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.25296442687747034,0.3373514798012529,1000.0
var50__old,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2740447957839262,0.3389040741276524,1000.0
var50__near,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.36231884057971014,0.4491371838310614,400.0
var50__near,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.38164251207729466,0.39976260386081086,400.0
var50__near,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.23063973063973064,0.3278159819394305,1000.0
var50__near,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.26430976430976433,0.3365295814473189,1000.0
